function,length,setpoint,gain,reset rate,deadband,cycle time,rate,system mode,control scheme,pump,solenoid,pressure measurement,crc rate,command response,binary result,categorized result,specific result
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
16,90,10.0,115,0.2,0.5,1.0,0,0,1,0,0,-1.0,17219,1,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
16,90,10.0,115,0.2,0.5,1.0,0,0,1,0,0,-1.0,17219,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.678161,13378,0,0,0,0
16,90,10.0,115,0.2,0.5,1.0,0,0,1,0,0,-1.0,17219,1,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
16,90,10.0,115,0.2,0.5,1.0,0,0,1,0,0,-1.0,17219,1,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,1.2465,14660,0,1,1,30
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,1.79203,16691,0,1,1,30
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.724138,13382,0,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,4.46e-39,13378,0,1,1,31
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,5e-39,17221,0,1,1,31
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,5e-39,17221,0,1,1,31
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
16,90,3.68,117,0.3372,0.46,1.0,0,2,1,0,0,-1.0,13878,1,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
16,90,3.68,117,0.3372,0.46,1.0,0,2,1,0,1,-1.0,13877,1,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
16,90,3.68,117,0.3372,0.46,1.0,0,2,1,0,1,-1.0,13877,1,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
16,90,3.68,117,0.3372,0.46,1.0,0,1,1,0,1,-1.0,13878,1,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
16,90,3.68,117,0.2114,0.46,1.0,0,1,1,0,1,-1.0,12850,1,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.494253,13623,0,0,0,0
16,90,3.68,117,0.3471,0.46,1.0,0,0,1,0,1,-1.0,16947,1,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
16,90,3.68,117,0.3471,0.46,1.0,0,0,1,1,1,-1.0,16946,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.528736,14146,0,0,0,0
16,90,3.68,117,0.3471,0.46,1.0,0,0,1,0,1,-1.0,16947,1,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
16,90,3.68,117,0.3471,0.71,1.0,0,0,1,0,1,-1.0,16962,1,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.54023,13123,0,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.505747,17976,0,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.54023,13124,0,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
16,90,12.2,117,0.3471,0.71,1.0,0,0,1,0,0,-1.0,12849,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.528736,14145,0,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.517241,16962,0,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.505747,17977,0,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.517241,16962,0,0,0,0
16,90,12.2,117,0.3471,0.75,1.0,0,0,1,0,0,-1.0,13879,1,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.482759,17459,0,0,0,0
16,90,12.2,117,0.3471,0.75,1.0,0,0,1,0,0,-1.0,13879,1,0,0,0
16,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,17718,0,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
16,90,12.2,117,0.3471,0.43,1.0,0,0,1,0,0,-1.0,16709,1,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
16,90,12.2,117,0.3471,0.43,1.0,0,0,1,0,0,-1.0,16709,1,0,0,0
3,16,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1.0,12869,1,0,0,0
3,46,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0.54023,13124,0,0,0,0
16,90,12.2,117,0.3471,0.43,1.0,0,0,1,1,0,-1.0,16708,1,0,0,0
16,90,12.2,117,0.3471,0.43,1.0,0,0,1,1,0,-1.0,16708,1,0,0,0
